OrderID,CustomerID,OrderDate,ProductID,DiscountedUnitPrice,Quantity,Country,ProductName,CategoryID,UndiscountedUnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,Revenue,Discount,%Discount
10389,BOTTM,1/20/1995,10,24.8,16,Canada,Ikura,8,31,31,0,0,0,Seafood,396.8,6.2,20
10389,BOTTM,1/20/1995,55,19.2,15,Canada,Pâté chinois,6,24,115,0,20,0,Meat/Poultry,288,4.8,20
10389,BOTTM,1/20/1995,62,39.4,20,Canada,Tarte au sucre,3,49.3,17,0,0,0,Confections,788,9.9,20.0811359
10389,BOTTM,1/20/1995,70,12,30,Canada,Outback Lager,1,15,15,10,30,0,Beverages,360,3,20
10390,ERNSH,1/23/1995,31,10,60,Austria,Gorgonzola Telino,4,12.5,0,70,20,0,Dairy Products,600,2.5,20
10390,ERNSH,1/23/1995,35,14.4,40,Austria,Steeleye Stout,1,18,20,0,15,0,Beverages,576,3.6,20
10390,ERNSH,1/23/1995,46,9.6,45,Austria,Spegesild,8,12,95,0,0,0,Seafood,432,2.4,20
10390,ERNSH,1/23/1995,72,27.8,24,Austria,Mozzarella di Giovanni,4,34.8,14,0,0,0,Dairy Products,667.2,7,20.11494253
10391,DRACD,1/23/1995,13,4.8,18,Germany,Konbu,8,6,24,0,5,0,Seafood,86.4,1.2,20
10392,PICCO,1/24/1995,69,28.8,50,Austria,Gudbrandsdalsost,4,36,26,0,15,0,Dairy Products,1440,7.2,20
10393,SAVEA,1/25/1995,2,15.2,25,USA,Chang,1,19,17,40,25,0,Beverages,380,3.8,20
10393,SAVEA,1/25/1995,14,18.6,42,USA,Tofu,7,23.25,35,0,0,0,Produce,781.2,4.65,20
10393,SAVEA,1/25/1995,25,11.2,7,USA,NuNuCa NuÃ-Nougat-Creme,3,14,76,0,30,0,Confections,78.4,2.8,20
